Local Address	Foreign Address	State
192.168.9.248:80	189.242.90.88:49933	SYN_RECV
192.168.9.248:80	185.77.43.61:12580	SYN_RECV
192.168.9.248:80	201.119.231.182:53135	SYN_RECV
192.168.9.248:80	189.136.67.226:52946	TIME_WAIT
192.168.9.248:80	187.169.241.199:49761	ESTABLISHED
192.168.9.248:80	187.207.153.57:56022	TIME_WAIT
192.168.9.248:80	187.225.242.118:61538	TIME_WAIT
192.168.9.248:80	187.169.117.0:50597	TIME_WAIT
192.168.9.248:80	189.137.147.16:59386	TIME_WAIT
192.168.9.248:80	187.207.130.246:56030	TIME_WAIT
192.168.9.248:80	201.119.231.182:53132	TIME_WAIT
192.168.9.248:80	187.225.242.118:61536	TIME_WAIT
192.168.9.248:80	187.169.52.214:53335	TIME_WAIT
192.168.9.248:80	187.228.158.122:49275	TIME_WAIT
192.168.9.248:80	189.136.122.236:50429	ESTABLISHED
192.168.9.248:80	189.136.67.226:52959	TIME_WAIT
192.168.9.248:80	189.242.90.88:49930	TIME_WAIT
192.168.9.248:80	187.225.242.118:61537	TIME_WAIT
192.168.9.248:80	189.137.242.208:55078	TIME_WAIT
192.168.9.248:80	187.199.110.237:17506	LAST_ACK
192.168.9.248:80	187.207.130.246:56024	TIME_WAIT
192.168.9.248:80	187.199.110.237:17507	FIN_WAIT1
192.168.9.248:80	201.114.106.79:48611	FIN_WAIT2
192.168.9.248:80	201.114.106.79:48612	FIN_WAIT2
192.168.9.248:80	187.169.117.0:50590	TIME_WAIT
192.168.9.248:80	187.207.153.57:56032	TIME_WAIT
192.168.9.248:80	187.199.110.237:17509	LAST_ACK
192.168.9.248:80	201.114.106.79:48609	FIN_WAIT2
192.168.9.248:80	187.225.242.118:61548	FIN_WAIT2
192.168.9.248:80	189.239.232.90:49698	TIME_WAIT
192.168.9.248:80	201.119.231.182:53130	TIME_WAIT
192.168.9.248:80	189.137.147.16:53157	TIME_WAIT
192.168.9.248:80	187.169.117.0:50593	TIME_WAIT
192.168.9.248:80	189.239.232.90:49702	FIN_WAIT2
192.168.9.248:80	189.242.90.88:49929	TIME_WAIT
192.168.9.248:80	189.239.252.237:49312	ESTABLISHED
192.168.9.248:80	187.225.242.118:61533	TIME_WAIT
192.168.9.248:80	187.225.242.118:61549	FIN_WAIT2
192.168.9.248:80	189.136.67.226:52963	ESTABLISHED
192.168.9.248:80	187.169.117.0:50591	TIME_WAIT
192.168.9.248:80	187.169.241.199:49759	TIME_WAIT
192.168.9.248:80	187.199.110.237:17510	LAST_ACK
192.168.9.248:80	189.136.122.236:50425	TIME_WAIT
192.168.9.248:80	189.217.55.11:28173	FIN_WAIT2
192.168.9.248:80	189.217.52.104:49405	ESTABLISHED
192.168.9.248:80	187.169.52.214:53346	TIME_WAIT
192.168.9.248:80	187.169.117.0:50592	TIME_WAIT
192.168.9.248:80	189.242.90.88:49931	TIME_WAIT
192.168.9.248:80	189.242.90.88:49928	TIME_WAIT
192.168.9.248:80	187.169.117.0:50595	TIME_WAIT
192.168.9.248:80	201.114.106.79:48608	FIN_WAIT2
192.168.9.248:80	189.136.122.236:50427	TIME_WAIT
192.168.9.248:80	201.114.106.79:48610	FIN_WAIT2
192.168.9.248:80	187.225.242.118:61535	TIME_WAIT
192.168.9.248:80	187.199.110.237:17609	FIN_WAIT2
192.168.9.248:80	189.137.147.16:49707	FIN_WAIT2
192.168.9.248:80	201.141.184.160:21822	TIME_WAIT
192.168.9.248:80	187.199.110.237:17508	LAST_ACK
192.168.9.248:80	189.239.232.90:49701	TIME_WAIT
192.168.9.248:80	187.225.242.118:61534	TIME_WAIT
192.168.9.248:80	187.207.153.57:56028	TIME_WAIT
192.168.9.248:80	187.169.52.214:53347	ESTABLISHED
192.168.9.248:80	189.137.147.16:50419	TIME_WAIT
192.168.9.248:80	187.169.117.0:50598	TIME_WAIT
192.168.9.248:80	187.169.117.0:50594	TIME_WAIT

